,año,conglome,vivienda,hogar,codperso,ubigeo_x,desercion_escolar,sexo,edad,area_geografica,lengua_materna,tipo_de_colegio,programa,situacion_laboral,años_educacion_padre,años_educacion_madre,ubigeo_y,ingreso_familiar,tamaño_familiar,internet,tv,celular
70,2021,5074,47,11,5,10403,0,0,6,0,0,1,0,0,3,4,10403,292.6691080729167,5,0,1,0
71,2021,5074,49,11,3,10403,1,0,17,0,0,1,0,1,1,1,10403,372.3070475260417,6,0,0,1
72,2021,5074,49,11,4,10403,0,0,14,0,0,1,1,1,1,1,10403,372.3070475260417,6,0,0,1
73,2021,5074,49,11,5,10403,0,0,10,0,0,1,1,0,1,1,10403,372.3070475260417,6,0,0,1
74,2021,5074,49,11,6,10403,0,1,6,0,0,1,0,0,1,1,10403,372.3070475260417,6,0,0,1
75,2021,5074,52,11,3,10403,0,1,7,0,0,1,1,0,2,2,10403,179.09708658854166,6,0,0,0
76,2021,5074,52,11,4,10403,0,1,6,0,0,1,1,0,2,2,10403,179.09708658854166,6,0,0,0
77,2021,5074,133,11,4,10403,1,0,19,0,0,1,0,1,1,1,10403,574.8190755208333,5,0,0,0
78,2021,5074,136,11,4,10403,0,0,14,0,0,1,0,1,1,1,10403,253.84598795572916,4,0,0,1
79,2021,5076,16,11,4,10401,0,0,12,0,0,1,1,0,2,2,10401,301.88309151785717,7,0,0,1
80,2021,5076,16,11,5,10401,0,1,9,0,0,1,1,0,2,2,10401,301.88309151785717,7,0,0,1
81,2021,5076,16,11,6,10401,0,1,7,0,0,1,1,0,2,2,10401,301.88309151785717,7,0,0,1
82,2021,5076,16,11,7,10401,0,1,8,0,0,1,1,0,2,2,10401,301.88309151785717,7,0,0,1
83,2021,5076,61,11,3,10401,0,0,16,0,0,1,1,0,2,2,10401,287.4730282738095,7,0,0,1
84,2021,5076,61,11,4,10401,0,0,11,0,0,1,1,0,2,2,10401,287.4730282738095,7,0,0,1
85,2021,5076,61,11,5,10401,0,1,7,0,0,1,0,0,2,2,10401,287.4730282738095,7,0,0,1
86,2021,5076,63,11,3,10401,0,0,9,0,0,1,1,0,2,2,10401,141.89197591145833,5,0,0,1
87,2021,5076,64,11,3,10401,0,1,9,0,0,1,1,0,3,1,10401,288.81390380859375,4,0,0,0
88,2021,5076,67,11,3,10401,0,1,13,0,0,1,1,0,2,1,10401,133.1540283203125,5,0,0,0
89,2021,5076,67,11,4,10401,0,1,10,0,0,1,1,0,2,1,10401,133.1540283203125,5,0,0,0
90,2021,5079,2,11,3,10401,1,0,5,0,1,1,1,0,3,3,10401,387.9651692708333,3,1,1,1
91,2021,5079,4,11,3,10401,1,1,6,0,1,1,1,0,2,2,10401,696.51318359375,3,0,0,1
92,2021,5079,5,11,3,10401,0,0,12,0,1,1,1,0,1,1,10401,383.3299560546875,4,1,1,1
93,2021,5079,32,11,3,10401,1,0,8,0,1,1,0,0,4,3,10401,786.3306477864584,4,1,1,1
94,2021,5079,36,11,3,10401,1,1,15,0,1,1,1,1,1,1,10401,768.9421875,5,1,1,1
95,2021,5079,36,11,4,10401,1,1,7,0,1,1,1,0,1,1,10401,768.9421875,5,1,1,1
96,2021,5079,36,11,5,10401,1,0,5,0,1,1,0,0,1,1,10401,768.9421875,5,1,1,1
97,2021,5086,38,11,3,10205,1,1,15,0,0,1,0,1,1,1,10205,301.31370442708334,5,0,0,0
98,2021,5086,38,11,4,10205,0,1,13,0,0,1,1,0,1,1,10205,301.31370442708334,5,0,0,0
99,2021,5086,38,11,5,10205,0,1,10,0,0,1,1,0,1,1,10205,301.31370442708334,5,0,0,0
100,2021,5087,91,11,3,10202,0,1,11,0,1,1,1,0,1,2,10202,339.9014892578125,4,0,0,1
101,2021,5087,91,11,4,10202,0,0,6,0,1,1,1,0,1,2,10202,339.9014892578125,4,0,0,1
102,2021,5087,93,11,2,10202,0,1,11,0,1,1,1,0,2,1,10202,332.30491129557294,4,0,0,1
103,2021,5087,93,11,3,10202,0,0,9,0,1,1,1,0,2,1,10202,332.30491129557294,4,0,0,1
104,2021,5087,93,11,4,10202,0,1,7,0,1,1,0,0,2,1,10202,332.30491129557294,4,0,0,1
105,2021,5087,97,11,3,10202,0,0,17,0,1,1,0,1,1,1,10202,515.73544921875,5,0,0,1
106,2021,5087,97,11,4,10202,0,0,15,0,1,1,1,1,1,1,10202,515.73544921875,5,0,0,1
107,2021,5087,97,11,5,10202,0,1,12,0,1,1,1,0,1,1,10202,515.73544921875,5,0,0,1
108,2021,5087,98,11,4,10202,0,1,8,0,1,1,1,0,3,2,10202,233.24991861979166,4,1,0,1
109,2021,5087,100,11,3,10202,0,0,10,0,1,1,1,0,3,3,10202,399.320068359375,3,0,0,1
110,2021,5088,17,11,4,10202,0,1,8,0,1,1,1,0,2,1,10202,452.1601155598958,4,1,0,1
111,2021,5088,22,11,3,10202,0,1,18,0,1,1,1,0,2,1,10202,663.1820746527778,3,0,0,1
112,2021,5088,50,11,2,10202,0,1,11,0,1,1,1,0,1,1,10202,188.87052408854166,2,0,0,0
113,2021,5089,55,11,2,10202,1,0,18,0,1,1,0,1,2,1,10202,332.94256591796875,2,0,0,1
114,2021,5089,61,11,4,10202,1,1,16,0,1,1,0,1,1,1,10202,194.330126953125,5,1,0,1
115,2021,5089,61,11,5,10202,0,1,12,0,1,1,1,0,1,1,10202,194.330126953125,5,1,0,1
116,2021,5102,75,11,5,10701,1,1,14,0,1,1,1,0,3,1,10701,700.4589192708333,5,0,0,1
117,2021,5102,176,11,2,10701,1,0,10,0,1,1,1,0,2,1,10701,821.7633463541666,2,1,0,1
118,2021,5102,177,11,3,10701,1,0,11,0,1,1,0,0,3,2,10701,166.85425821940103,4,1,0,1
119,2021,5102,177,11,4,10701,1,1,5,0,1,1,0,0,3,2,10701,166.85425821940103,4,1,0,1
120,2021,5102,191,11,4,10701,1,0,16,0,1,1,1,1,1,1,10701,245.33931477864584,4,0,0,1
121,2021,5103,69,11,3,10701,0,1,16,0,1,1,1,1,3,2,10701,896.241455078125,8,0,0,1
122,2021,5103,69,11,4,10701,0,0,14,0,1,1,1,1,3,2,10701,896.241455078125,8,0,0,1
123,2021,5103,69,11,5,10701,0,0,12,0,1,1,1,0,3,2,10701,896.241455078125,8,0,0,1
124,2021,5103,69,11,6,10701,0,1,9,0,1,1,1,0,3,2,10701,896.241455078125,8,0,0,1
